t_sys,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_r,rpy_p,rpy_y
3868.213435,0.99997151,0.00261116,-0.00701841,-0.00092168,-0.00852211,-0.01384844,-0.00852211,-0.09457096,-0.23822308,9.29907894,0.00523564,-0.01403206,-0.00188015
3868.215176,0.99997145,0.00262482,-0.00701925,-0.00092612,0.00532632,-0.00852211,-0.00319579,-0.09457096,-0.23822308,9.29907894,0.00526303,-0.01403370,-0.00188922
3868.217341,0.99997139,0.00264017,-0.00701868,-0.00093274,0.01278317,-0.00213053,-0.01704423,-0.04070143,-0.28850129,9.34456921,0.00529382,-0.01403249,-0.00190267
3868.219394,0.99997139,0.00264711,-0.00701798,-0.00093924,0.01278317,-0.00745685,-0.01491370,-0.04070143,-0.28850129,9.34456921,0.00530780,-0.01403104,-0.00191577
3868.221433,0.99997133,0.00266659,-0.00701858,-0.00095230,0.01384844,-0.01065264,-0.01171791,-0.11372458,-0.18794483,9.33259869,0.00534696,-0.01403214,-0.00194217
3868.223461,0.99997127,0.00267197,-0.00702493,-0.00095388,0.00532632,-0.01171791,-0.00213053,-0.11372458,-0.18794483,9.33259869,0.00535774,-0.01404481,-0.00194543
3868.225412,0.99997121,0.00267955,-0.00703010,-0.00095763,0.01065264,-0.01597896,-0.00532632,-0.11372458,-0.18794483,9.33259869,0.00537297,-0.01405513,-0.00195308
3868.227270,0.99997127,0.00268412,-0.00702601,-0.00095614,-0.00958738,-0.00639159,-0.00745685,-0.12090719,-0.01436521,9.33259869,0.00538208,-0.01404694,-0.00195014
3868.229419,0.99997133,0.00268506,-0.00702078,-0.00095781,-0.00639159,-0.00213053,-0.00639159,-0.12090719,-0.01436521,9.33259869,0.00538397,-0.01403648,-0.00195346
3868.231448,0.99997133,0.00267536,-0.00701866,-0.00095819,-0.01384844,-0.00745685,0.00213053,-0.10295067,-0.02873042,9.39125633,0.00536458,-0.01403224,-0.00195408
3868.233336,0.99997139,0.00266609,-0.00700852,-0.00095764,-0.00745685,0.00319579,0.00532632,-0.10295067,-0.02873042,9.39125633,0.00534600,-0.01401200,-0.00195278
3868.235408,0.99997151,0.00265397,-0.00700474,-0.00095427,-0.01278317,-0.01491370,-0.00106526,-0.10295067,-0.02873042,9.39125633,0.00532171,-0.01400448,-0.00194587
