width_ms,rep,t_ms,tau
2,15,23.028780,0.074215
2,15,25.131225,0.123691
2,15,27.243273,-0.049477
2,15,29.247370,0.024738
2,15,31.233984,0.049477
2,15,33.220491,0.024738
2,15,35.326172,0.049477
2,15,37.239519,0.024738
2,15,39.230266,0.024738
2,15,41.223547,0.049477
2,15,43.244377,0.049477
2,15,45.248409,0.123691
2,15,47.267046,0.074215
2,15,49.184693,0.000000
2,15,51.214069,0.024738
2,15,53.205595,0.049477
2,15,55.209689,0.049477
2,15,57.236269,0.074215
2,15,58.947127,0.074215
2,15,61.059002,0.074215
2,16,0.172370,0.049477
2,16,2.301405,0.049477
2,16,4.077251,0.074215
2,16,6.034798,0.024738
2,16,8.290504,0.000000
2,16,10.280611,0.074215
2,16,12.075983,0.123691
2,16,14.283500,0.024738
2,16,16.304440,0.049477
2,16,18.321245,0.049477
2,16,20.144428,0.074215
2,16,22.316045,0.074215
2,16,24.153921,0.024738
2,16,26.468848,0.024738
2,16,28.240718,0.049477
2,16,30.311475,0.049477
2,16,32.055513,0.024738
2,16,34.316545,0.049477
2,16,36.287043,0.074215
2,16,38.119471,0.074215
2,16,40.248697,0.123691
2,16,42.001671,0.123691
2,16,44.287159,0.074215
2,16,45.999635,0.074215
2,16,48.073311,0.074215
2,16,50.053521,0.074215
2,16,51.961991,0.123691
2,16,54.020965,0.074215
2,16,56.312012,0.074215
2,16,58.228075,0.123691
2,16,60.307272,0.148430
2,16,62.310801,0.049477
2,17,1.354170,0.049477
2,17,2.873903,0.049477
2,17,5.111528,0.049477
2,17,6.924098,-0.321598
2,17,8.920594,0.272121
2,17,11.084497,0.049477
2,17,13.178423,0.000000
2,17,15.169208,0.049477
2,17,17.184604,0.074215
2,17,19.160081,0.000000
2,17,21.200419,0.049477
2,17,23.008175,0.049477
2,17,24.923783,0.024738
2,17,26.989467,0.049477
2,17,28.982895,0.049477
2,17,31.180752,0.024738
2,17,32.999383,0.024738
2,17,35.138968,0.049477
2,17,37.070662,0.074215
2,17,39.118123,0.074215
2,17,40.978991,0.049477
2,17,43.103762,0.049477
2,17,44.956541,0.123691
2,17,47.163951,0.049477
2,17,49.179200,0.123691
2,17,51.137666,0.074215
2,17,52.930247,0.049477
2,17,54.910859,0.123691
2,17,57.140091,0.074215
2,17,58.917499,0.049477
2,17,61.099900,0.074215
2,18,0.131575,0.074215
2,18,2.006875,0.049477
2,18,3.959357,0.123691
2,18,6.197744,-0.049477
2,18,8.032179,0.049477
2,18,10.136086,0.024738
2,18,12.232835,0.049477
2,18,14.002230,0.148430
2,18,16.158447,0.074215
2,18,17.944888,0.074215
2,18,20.108559,0.074215
2,18,21.980833,0.074215
2,18,24.145011,0.049477
2,18,25.971499,0.049477
2,18,28.257029,0.074215
2,18,30.226405,0.024738
2,18,31.951677,0.024738
2,18,34.228424,0.049477
2,18,35.967275,0.049477
2,18,38.146911,0.074215
2,18,39.970904,0.074215
2,18,41.999243,0.123691
2,18,44.190258,0.024738
2,18,46.218080,0.123691
2,18,48.118719,0.000000
2,18,50.187368,0.074215
2,18,52.229897,0.049477
2,18,54.190244,0.123691
2,18,56.148873,0.049477
