t_sys,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_r,rpy_p,rpy_y
4966.501272,0.98739421,0.00078385,-0.00790499,-0.15808077,-0.01171791,-0.01597896,0.01278317,-0.08619126,-0.19991584,9.34696388,0.00404768,-0.01536346,-0.31753454
4966.503292,0.98739529,0.00078064,-0.00791309,-0.15807395,-0.00639159,-0.01384844,0.00000000,-0.08619126,-0.19991584,9.34696388,0.00404379,-0.01538050,-0.31752077
4966.505274,0.98739624,0.00076977,-0.00789661,-0.15806839,0.00000000,0.01384844,0.00426106,-0.04309563,-0.19752164,9.39005947,0.00401702,-0.01535143,-0.31750917
4966.507127,0.98739761,0.00076908,-0.00789306,-0.15806018,-0.00639159,-0.01065264,0.00213053,-0.04309563,-0.19752164,9.39005947,0.00401442,-0.01534465,-0.31749251
4966.509276,0.98739648,0.00076957,-0.00788993,-0.15806726,-0.00958738,0.00639159,-0.00532632,-0.04309563,-0.19752164,9.39005947,0.00401450,-0.01533829,-0.31750682
4966.511266,0.98739690,0.00078068,-0.00788855,-0.15806501,0.00426106,-0.00426106,0.00106526,0.02274492,-0.16400282,9.43914032,0.00403597,-0.01533207,-0.31750244
4966.513319,0.98739642,0.00078360,-0.00788403,-0.15806793,0.00532632,0.00426106,0.00000000,0.02274492,-0.16400282,9.43914032,0.00404036,-0.01532220,-0.31750834
4966.515294,0.98739541,0.00078368,-0.00789323,-0.15807378,0.00745685,-0.01917476,-0.01065264,-0.04788403,-0.23463176,9.38646793,0.00404351,-0.01534031,-0.31752029
4966.517318,0.98739606,0.00078431,-0.00789144,-0.15806979,-0.00426106,-0.00532632,0.00532632,-0.04788403,-0.23463176,9.38646793,0.00404414,-0.01533661,-0.31751218
4966.519279,0.98739511,0.00078820,-0.00789401,-0.15807579,0.00852211,-0.01491370,-0.01278317,-0.04788403,-0.23463176,9.38646793,0.00405273,-0.01534043,-0.31752449
4966.521282,0.98739493,0.00079105,-0.00789992,-0.15807648,0.00852211,-0.01704423,0.00106526,-0.08020575,-0.19393034,9.32302189,0.00406022,-0.01535120,-0.31752592
4966.523314,0.98739451,0.00078914,-0.00789144,-0.15807937,-0.01171791,0.01065264,-0.00319579,-0.08020575,-0.19393034,9.32302189,0.00405382,-0.01533503,-0.31753168
4966.525276,0.98739362,0.00079302,-0.00789778,-0.15808478,0.01171791,-0.02237055,-0.00958738,-0.09457096,-0.09576806,9.38407326,0.00406358,-0.01534631,-0.31754273
4966.527287,0.98739088,0.00079290,-0.00790350,-0.15810172,0.00319579,-0.02024002,-0.02237055,-0.09457096,-0.09576806,9.38407326,0.00406541,-0.01535757,-0.31757715
4966.529319,0.98739034,0.00079387,-0.00788531,-0.15810584,-0.00958738,0.00426106,-0.00106526,-0.09457096,-0.09576806,9.38407326,0.00406164,-0.01532132,-0.31758529
4966.531234,0.98738855,0.00079229,-0.00789627,-0.15811636,-0.00852211,-0.02024002,-0.01384844,-0.12689269,-0.15801731,9.38167953,0.00406215,-0.01534342,-0.31760669
4966.533332,0.98738813,0.00078455,-0.00789244,-0.15811959,0.00000000,-0.00319579,-0.00426106,-0.12689269,-0.15801731,9.38167953,0.00404570,-0.01533829,-0.31761312
4966.535325,0.98738724,0.00077581,-0.00788397,-0.15812500,-0.01810949,-0.01597896,-0.00958738,-0.14963761,-0.23463176,9.36491966,0.00402583,-0.01532431,-0.31762382
4966.537403,0.98738480,0.00076414,-0.00788415,-0.15814075,-0.02343581,-0.00852211,-0.02237055,-0.14963761,-0.23463176,9.36491966,0.00400309,-0.01532830,-0.31765556
4966.539129,0.98738265,0.00076206,-0.00787702,-0.15815465,0.01278317,-0.01278317,-0.01704423,-0.14963761,-0.23463176,9.36491966,0.00399694,-0.01531482,-0.31768364
4966.541289,0.98738194,0.00076542,-0.00787695,-0.15815908,-0.00639159,-0.01597896,-0.00958738,-0.14484920,-0.18195933,9.32182407,0.00400363,-0.01531360,-0.31769267
4966.543315,0.98738068,0.00076326,-0.00787851,-0.15816699,-0.00426106,-0.01278317,-0.01810949,-0.14484920,-0.18195933,9.32182407,0.00399998,-0.01531733,-0.31770867
4966.545359,0.98737931,0.00077198,-0.00787399,-0.15817533,0.01491370,-0.00745685,0.00106526,-0.07661445,-0.19033903,9.35534286,0.00401591,-0.01530561,-0.31772566
4966.547396,0.98737717,0.00077796,-0.00788374,-0.15818861,0.00852211,-0.02769687,-0.01491370,-0.07661445,-0.19033903,9.35534286,0.00403100,-0.01532292,-0.31775275
4966.549374,0.98737568,0.00077764,-0.00790280,-0.15819691,-0.00213053,-0.02024002,-0.00745685,-0.07661445,-0.19033903,9.35534286,0.00403653,-0.01536064,-0.31776971
4966.551250,0.98737466,0.00079174,-0.00790333,-0.15820310,0.01171791,-0.00745685,-0.00852211,-0.04548983,-0.16041151,9.42716885,0.00406463,-0.01535719,-0.31778246
4966.553249,0.98737270,0.00078690,-0.00790761,-0.15821469,-0.01065264,-0.01384844,-0.01491370,-0.04548983,-0.16041151,9.42716885,0.00405662,-0.01536711,-0.31780589
4966.555214,0.98737174,0.00078380,-0.00790343,-0.15822117,-0.00532632,0.00426106,-0.00639159,-0.10534488,-0.09097967,9.33738708,0.00404927,-0.01535982,-0.31781897
4966.557304,0.98737222,0.00078354,-0.00790111,-0.15821820,0.00639159,-0.01384844,0.00106526,-0.10534488,-0.09097967,9.33738708,0.00404797,-0.01535533,-0.31781289
4966.559290,0.98737091,0.00077472,-0.00790890,-0.15822601,-0.01065264,-0.02024002,-0.00319579,-0.06943185,-0.09696517,9.37449646,0.00403315,-0.01537348,-0.31782866
4966.561148,0.98737270,0.00076029,-0.00789402,-0.15821563,-0.01278317,0.00319579,0.00958738,-0.06943185,-0.09696517,9.37449646,0.00399977,-0.01534870,-0.31780729
4966.563305,0.98737317,0.00076740,-0.00789303,-0.15821277,0.00319579,-0.00639159,-0.00426106,-0.06943185,-0.09696517,9.37449646,0.00401345,-0.01534452,-0.31780156
4966.565321,0.98737353,0.00075688,-0.00789983,-0.15821056,-0.00958738,-0.01171791,-0.00319579,0.01915361,-0.19153613,9.39843845,0.00399481,-0.01536128,-0.31779703
4966.567360,0.98737514,0.00075121,-0.00789254,-0.15820074,-0.00852211,0.00106526,0.00745685,0.01915361,-0.19153613,9.39843845,0.00398114,-0.01534871,-0.31777701
4966.569299,0.98737544,0.00075748,-0.00790638,-0.15819819,0.01065264,-0.01597896,-0.00745685,-0.03591302,-0.20470424,9.37569427,0.00399786,-0.01537408,-0.31777203
4966.571318,0.98737544,0.00075930,-0.00791957,-0.15819770,0.00106526,-0.00745685,0.00106526,-0.03591302,-0.20470424,9.37569427,0.00400562,-0.01539954,-0.31777123
4966.573231,0.98737758,0.00076792,-0.00790722,-0.15818451,0.00958738,0.00639159,0.00852211,-0.03591302,-0.20470424,9.37569427,0.00401854,-0.01537248,-0.31774446
4966.575020,0.98737884,0.00077069,-0.00791975,-0.15817614,0.00532632,-0.01917476,0.00426106,-0.08978257,-0.21787235,9.31943035,0.00402784,-0.01539639,-0.31772768
4966.577329,0.98737901,0.00077693,-0.00792576,-0.15817475,0.00958738,-0.00106526,0.00213053,-0.08978257,-0.21787235,9.31943035,0.00404205,-0.01540628,-0.31772500
4966.579310,0.98738182,0.00078047,-0.00791968,-0.15815720,0.00319579,-0.00852211,0.01065264,-0.01675941,-0.11611878,9.37689114,0.00404685,-0.01539323,-0.31768945
4966.581325,0.98738372,0.00078811,-0.00792639,-0.15814531,0.00532632,-0.02024002,0.00639159,-0.01675941,-0.11611878,9.37689114,0.00406388,-0.01540411,-0.31766552
4966.583347,0.98738497,0.00079176,-0.00792887,-0.15813710,-0.00106526,-0.00958738,0.01065264,-0.01675941,-0.11611878,9.37689114,0.00407173,-0.01540790,-0.31764895
4966.585299,0.98738742,0.00079167,-0.00792333,-0.15812209,0.00106526,-0.01065264,0.01597896,0.01915361,-0.08738836,9.34935760,0.00406958,-0.01539703,-0.31761852
4966.587382,0.98738766,0.00077751,-0.00793537,-0.15812030,-0.01810949,-0.02024002,0.00213053,0.01915361,-0.08738836,9.34935760,0.00404538,-0.01542531,-0.31761482
4966.589313,0.98738831,0.00077249,-0.00791821,-0.15811695,-0.01917476,0.01384844,0.00426106,-0.05027824,-0.15442601,9.36731434,0.00403000,-0.01539301,-0.31760779
4966.591219,0.98739004,0.00077033,-0.00791367,-0.15810664,0.00958738,-0.01278317,0.00319579,-0.05027824,-0.15442601,9.36731434,0.00402413,-0.01538477,-0.31758684
4966.593310,0.98738998,0.00075628,-0.00790784,-0.15810721,-0.01597896,0.00532632,0.00000000,-0.05027824,-0.15442601,9.36731434,0.00399453,-0.01537770,-0.31758770
4966.595305,0.98739064,0.00075265,-0.00789969,-0.15810375,-0.02024002,0.00426106,0.00213053,-0.06943185,-0.21428105,9.36491966,0.00398475,-0.01536277,-0.31758061
4966.597330,0.98739117,0.00075860,-0.00790427,-0.15810029,0.01278317,-0.00532632,0.00106526,-0.06943185,-0.21428105,9.36491966,0.00399790,-0.01536994,-0.31757370
4966.599307,0.98739153,0.00075051,-0.00790447,-0.15809770,0.00639159,-0.01491370,-0.00532632,0.04429273,-0.17597382,9.38287640,0.00398193,-0.01537291,-0.31756836
4966.601357,0.98739100,0.00075327,-0.00789338,-0.15810177,-0.00745685,-0.00319579,-0.01065264,0.04429273,-0.17597382,9.38287640,0.00398395,-0.01535013,-0.31757653
4966.603318,0.98738950,0.00075388,-0.00790874,-0.15811017,-0.01065264,-0.01704423,-0.00213053,0.04429273,-0.17597382,9.38287640,0.00399014,-0.01538023,-0.31759369
4966.605343,0.98738974,0.00075869,-0.00790423,-0.15810892,0.00852211,0.01171791,0.00532632,0.00718261,-0.23702596,9.41280365,0.00399819,-0.01536981,-0.31759119
4966.607362,0.98739010,0.00075569,-0.00788989,-0.15810716,-0.00213053,0.00639159,-0.00319579,0.00718261,-0.23702596,9.41280365,0.00398770,-0.01534245,-0.31758744
4966.609239,0.98738861,0.00076051,-0.00789906,-0.15811627,-0.00532632,-0.00958738,-0.01065264,-0.07422026,-0.18435353,9.32541561,0.00400025,-0.01535899,-0.31760609
4966.611321,0.98738843,0.00076456,-0.00789044,-0.15811770,0.00213053,0.00426106,0.00213053,-0.07422026,-0.18435353,9.32541561,0.00400555,-0.01534068,-0.31760892
4966.613361,0.98738903,0.00077047,-0.00788775,-0.15811433,0.01491370,-0.01278317,0.00319579,-0.07422026,-0.18435353,9.32541561,0.00401633,-0.01533351,-0.31760222
4966.615349,0.98738796,0.00077325,-0.00789209,-0.15812080,0.00106526,-0.00958738,-0.00852211,-0.07302316,-0.09935937,9.29309368,0.00402329,-0.01534117,-0.31761539
4966.617446,0.98738706,0.00076852,-0.00788481,-0.15812626,-0.00319579,0.00532632,-0.00106526,-0.07302316,-0.09935937,9.29309368,0.00401173,-0.01532827,-0.31762630
4966.619353,0.98738599,0.00077066,-0.00787964,-0.15813340,0.01065264,-0.00958738,-0.01278317,-0.06105214,-0.14245500,9.35773754,0.00401443,-0.01531735,-0.31764075
4966.621363,0.98738503,0.00076223,-0.00788026,-0.15813920,-0.01597896,-0.00532632,-0.00639159,-0.06105214,-0.14245500,9.35773754,0.00399807,-0.01532122,-0.31765234
4966.623649,0.98738414,0.00075807,-0.00787129,-0.15814574,-0.00852211,-0.00106526,-0.00639159,-0.06105214,-0.14245500,9.35773754,0.00398712,-0.01530479,-0.31766546
4966.625347,0.98738343,0.00075408,-0.00788085,-0.15814941,0.00532632,-0.02130529,-0.01278317,-0.15682021,-0.20111294,9.41878986,0.00398231,-0.01532492,-0.31767291
4966.627366,0.98738146,0.00074502,-0.00787967,-0.15816207,-0.00745685,0.00106526,-0.02024002,-0.15682021,-0.20111294,9.41878986,0.00396424,-0.01532540,-0.31769848
4966.629123,0.98738033,0.00074894,-0.00787425,-0.15816921,-0.00319579,0.00000000,-0.00852211,-0.15562311,-0.24301147,9.32661247,0.00397038,-0.01531344,-0.31771290
