t_s,interval_ms,dropout
1.224664,1.555037,0
1.226770,2.105963,0
1.228797,2.026846,0
1.230600,1.802479,0
1.232765,2.165330,0
1.234684,1.918656,0
1.236675,1.991011,0
1.238684,2.009002,0
1.240672,1.988278,0
1.242565,1.893640,0
1.244525,1.959224,0
1.246515,1.990561,0
1.248442,1.926366,0
1.250493,2.051343,0
1.252547,2.054437,0
1.254781,2.233899,0
1.256566,1.785154,0
1.258820,2.253149,0
1.260747,1.927422,0
1.263025,2.277942,0
1.264646,1.621312,0
1.266567,1.920341,0
1.268615,2.047951,0
1.270595,1.980356,0
1.272657,2.062379,0
1.274815,2.157650,0
1.276766,1.951406,0
1.278711,1.944668,0
1.280589,1.877808,0
1.283052,2.463557,0
1.284582,1.529617,0
1.286772,2.190185,0
1.288820,2.047374,0
1.290674,1.854536,0
1.292720,2.046324,0
1.294667,1.946934,0
1.296647,1.979964,0
1.298628,1.980657,0
1.300583,1.955464,0
1.302699,2.115938,0
1.304606,1.907093,0
1.306553,1.946794,0
1.308602,2.048721,0
1.310771,2.169339,0
1.312980,2.208469,0
1.314679,1.698824,0
1.316576,1.896940,0
1.318520,1.943949,0
1.320728,2.208226,0
1.322788,2.059784,0
1.324654,1.866377,0
1.326686,2.032182,0
1.328719,2.032478,0
1.330682,1.963013,0
1.333074,2.392503,0
1.334802,1.727550,0
1.336584,1.782005,0
1.338612,2.028211,0
1.340593,1.980938,0
1.343088,2.495066,0
1.344666,1.577648,0
1.346669,2.003350,0
1.348477,1.808054,0
1.350810,2.332586,0
1.352868,2.058332,0
1.354585,1.717441,0
1.356559,1.973590,0
1.358601,2.042364,0
1.360583,1.981740,0
1.362595,2.011712,0
1.364806,2.211531,0
1.366762,1.955828,0
1.368817,2.055051,0
1.370827,2.010030,0
1.373068,2.240886,0
1.374583,1.514603,0
1.376584,2.001753,0
1.378762,2.177237,0
1.380747,1.985190,0
1.382739,1.992662,0
1.384790,2.050442,0
1.386606,1.815943,0
1.388583,1.977063,0
1.390780,2.197568,0
1.392985,2.204853,0
1.394612,1.626444,0
1.396563,1.951411,0
1.398658,2.095145,0
1.400636,1.978156,0
1.403100,2.463856,0
1.404604,1.503442,0
1.406776,2.171779,0
1.408602,1.826038,0
1.410701,2.099330,0
1.412987,2.285881,0
1.414674,1.687179,0
1.416583,1.908747,0
1.418589,2.005871,0
1.420586,1.997523,0
1.422809,2.222673,0
1.424606,1.796719,0
1.426776,2.170322,0
1.428713,1.937447,0
1.430585,1.871808,0
1.432544,1.958804,0
1.434584,2.040307,0
1.436638,2.054054,0
1.438767,2.129110,0
1.440829,2.061672,0
1.443037,2.207699,0
1.444825,1.788327,0
1.446775,1.949990,0
1.448782,2.006872,0
1.450668,1.886312,0
1.452598,1.929530,0
1.454587,1.989009,0
1.456554,1.967117,0
1.458797,2.243355,0
1.460880,2.082724,0
1.463083,2.202738,0
1.464847,1.763991,0
1.466753,1.905988,0
1.468589,1.836238,0
1.470651,2.062039,0
1.472780,2.128912,0
1.474647,1.867416,0
1.476686,2.038835,0
1.478818,2.132355,0
1.480800,1.981964,0
1.482607,1.806511,0
1.484537,1.930244,0
1.486605,2.067851,0
1.488726,2.120561,0
1.490832,2.106765,0
1.492841,2.009106,0
1.494586,1.744881,0
1.496581,1.994169,0
1.498683,2.102061,0
1.500668,1.985146,0
1.502668,1.999853,0
1.504642,1.974112,0
1.506587,1.945703,0
1.508494,1.906145,0
1.510595,2.101319,0
1.512618,2.023416,0
1.514586,1.968001,0
1.516779,2.193131,0
1.518709,1.929666,0
1.520579,1.870003,0
1.522981,2.402123,0
1.524781,1.799356,0
1.526732,1.951295,0
1.528806,2.074220,0
1.530828,2.022204,0
1.533020,2.191611,0
1.534811,1.791152,0
1.536772,1.960796,0
1.538772,2.000345,0
1.540798,2.025845,0
1.542763,1.964552,0
1.544668,1.905136,0
1.546672,2.004626,0
1.548585,1.912419,0
1.550444,1.859005,0
1.552688,2.243835,0
1.554684,1.996584,0
1.556684,1.999556,0
1.558692,2.007767,0
1.561001,2.309593,0
1.563105,2.103731,0
1.564811,1.706258,0
1.566581,1.770327,0
1.568676,2.094117,0
1.570668,1.992263,0
1.572846,2.178082,0
1.574560,1.714597,0
1.576746,2.185455,0
1.578810,2.063693,0
1.580855,2.045633,0
1.582665,1.809373,0
1.584581,1.916675,0
1.586772,2.191137,0
1.588782,2.009267,0
1.590674,1.892233,0
1.592373,1.698938,0
1.594738,2.365468,0
1.596642,1.903325,0
1.598752,2.110071,0
1.600726,1.973786,0
1.602569,1.843389,0
1.604584,2.014833,0
1.606549,1.965030,0
1.608670,2.121242,0
1.610632,1.961657,0
1.613110,2.478719,0
1.614827,1.716786,0
1.616709,1.881452,0
1.618599,1.890159,0
1.620610,2.010695,0
1.623021,2.411776,0
1.624815,1.793569,0
1.626669,1.854166,0
1.628785,2.115857,0
1.630792,2.007411,0
1.633007,2.214780,0
1.634815,1.807764,0
1.636598,1.782955,0
1.638738,2.140556,0
1.640800,2.061621,0
1.642448,1.648121,0
1.644399,1.951356,0
1.646671,2.271556,0
1.648669,1.998184,0
1.650824,2.155277,0
1.652842,2.017738,0
1.654594,1.751727,0
1.656753,2.159075,0
1.658762,2.008926,0
1.660609,1.847420,0
1.663016,2.406436,0
1.664778,1.762165,0
1.666685,1.906604,0
1.668745,2.060086,0
1.670762,2.017533,0
1.672904,2.142249,0
1.674819,1.914327,0
1.676773,1.954225,0
1.678587,1.813844,0
1.680817,2.229900,0
1.682671,1.854061,0
1.684809,2.138706,0
1.686761,1.951191,0
1.688781,2.020649,0
1.690787,2.005932,0
1.692660,1.872747,0
1.694684,2.024196,0
1.696588,1.903415,0
1.698410,1.821909,0
1.700588,2.178023,0
1.702631,2.043640,0
1.704736,2.105074,0
1.706558,1.822222,0
1.708587,2.028365,0
1.710583,1.996565,0
1.712816,2.232793,0
1.714801,1.984347,0
1.716675,1.874887,0
1.718616,1.940756,0
1.720806,2.190037,0
1.722637,1.830722,0
1.724637,2.000517,0
1.726771,2.133728,0
1.728807,2.035576,0
1.730593,1.786383,0
1.732719,2.126078,0
1.734671,1.951593,0
1.736674,2.003586,0
1.738680,2.005443,0
1.740584,1.904223,0
1.742580,1.996044,0
1.744733,2.152512,0
1.746662,1.929553,0
1.748669,2.006448,0
1.750798,2.128911,0
1.752628,1.830377,0
1.754778,2.149735,0
1.756605,1.827340,0
1.758581,1.975765,0
1.760669,2.088611,0
1.762610,1.940162,0
1.764731,2.121537,0
1.766558,1.826514,0
1.768604,2.046071,0
1.770847,2.242848,0
1.772711,1.864186,0
1.774698,1.987787,0
1.776655,1.956905,0
1.778663,2.007385,0
1.780667,2.003774,0
1.782946,2.279878,0
1.784658,1.711940,0
1.786601,1.942309,0
1.788734,2.133437,0
1.790844,2.109587,0
1.793049,2.204907,0
1.794819,1.770775,0
1.796589,1.769979,0
1.798847,2.258075,0
1.800675,1.827927,0
1.803100,2.424843,0
1.804781,1.680341,0
1.806664,1.883666,0
1.808790,2.125752,0
1.810785,1.994855,0
1.812785,1.999810,0
1.814599,1.814735,0
1.816600,2.000815,0
1.818691,2.090500,0
1.820659,1.968560,0
1.822948,2.288728,0
1.824549,1.601045,0
1.826775,2.226322,0
1.828779,2.004012,0
1.830724,1.944372,0
1.832625,1.901096,0
1.834605,1.980334,0
1.836555,1.949854,0
1.838819,2.263858,0
1.840748,1.929345,0
1.843025,2.276852,0
1.844804,1.779004,0
1.846773,1.969305,0
1.848614,1.840914,0
1.850672,2.057757,0
1.852655,1.982527,0
1.854790,2.134958,0
1.856692,1.902878,0
1.858778,2.085887,0
1.861068,2.289242,0
1.862975,1.907780,0
1.864640,1.665109,0
1.866772,2.131908,0
1.868806,2.033779,0
1.870602,1.795573,0
1.872893,2.291441,0
1.874753,1.859904,0
1.876512,1.758718,0
1.878793,2.280893,0
1.880815,2.022193,0
1.882694,1.878911,0
1.884795,2.100898,0
1.886781,1.986664,0
1.888834,2.052352,0
1.890506,1.672431,0
1.892800,2.294266,0
1.894494,1.693821,0
1.896504,2.009713,0
1.898306,1.802135,0
1.900420,2.114290,0
1.902461,2.041062,0
1.904464,2.002230,0
1.906466,2.002270,0
1.908481,2.014803,0
1.910510,2.029336,0
1.912494,1.983701,0
1.914469,1.974985,0
1.916459,1.990441,0
1.918459,2.000019,0
1.920538,2.078680,0
1.922906,2.368350,0
1.924636,1.730215,0
1.926643,2.006909,0
1.928641,1.997925,0
1.930719,2.077809,0
1.933139,2.420033,0
1.934788,1.649200,0
1.936687,1.899212,0
1.938676,1.988279,0
1.940891,2.215610,0
1.942854,1.962224,0
1.944684,1.830136,0
1.946746,2.062561,0
1.948911,2.164890,0
1.950488,1.576532,0
1.952952,2.464083,0
1.954608,1.656024,0
1.956772,2.164284,0
1.958618,1.845809,0
1.960614,1.995975,0
1.962397,1.783296,0
1.964618,2.220375,0
1.966553,1.935362,0
1.968603,2.049981,0
1.970585,1.981603,0
1.972805,2.220110,0
1.974591,1.786364,0
1.976763,2.172103,0
1.978831,2.068064,0
1.980617,1.786343,0
1.982681,2.063945,0
1.984689,2.007894,0
1.986649,1.959976,0
1.988709,2.059469,0
1.990664,1.955726,0
1.992492,1.827294,0
1.994778,2.285846,0
1.996577,1.799452,0
1.998666,2.089029,0
2.000776,2.109576,0
2.002615,1.839548,0
2.004599,1.984159,0
2.006554,1.954669,0
2.008594,2.040303,0
2.010516,1.921823,0
2.013018,2.502267,0
2.014587,1.568508,0
2.016594,2.006606,0
2.018801,2.207664,0
2.020571,1.770194,0
2.022385,1.813342,0
2.024753,2.368048,0
2.026758,2.005039,0
2.028748,1.989963,0
2.030617,1.868845,0
2.032595,1.978721,0
2.034619,2.024048,0
2.036759,2.139594,0
2.038781,2.021646,0
2.040781,2.000666,0
2.042691,1.909917,0
2.044613,1.922123,0
2.046777,2.163425,0
2.048441,1.663870,0
2.050655,2.214150,0
2.052681,2.026088,0
2.054675,1.993776,0
2.056669,1.994653,0
2.058663,1.993194,0
2.060746,2.083665,0
2.062511,1.765206,0
2.064594,2.082966,0
2.066746,2.151252,0
2.068623,1.877360,0
2.070640,2.017209,0
2.072702,2.061761,0
2.074677,1.974925,0
2.076763,2.086247,0
2.078856,2.092490,0
2.080585,1.729481,0
2.082372,1.786680,0
