t_sys,q_FR_hip,dq_FR_hip,tau_FR_hip,q_FR_thigh,dq_FR_thigh,tau_FR_thigh,q_FR_calf,dq_FR_calf,tau_FR_calf,q_FL_hip,dq_FL_hip,tau_FL_hip,q_FL_thigh,dq_FL_thigh,tau_FL_thigh,q_FL_calf,dq_FL_calf,tau_FL_calf,q_RR_hip,dq_RR_hip,tau_RR_hip,q_RR_thigh,dq_RR_thigh,tau_RR_thigh,q_RR_calf,dq_RR_calf,tau_RR_calf,q_RL_hip,dq_RL_hip,tau_RL_hip,q_RL_thigh,dq_RL_thigh,tau_RL_thigh,q_RL_calf,dq_RL_calf,tau_RL_calf
4966.401322,-0.01699311,-0.08138600,0.59371877,0.73518300,0.05038181,-1.80589461,-1.42420042,-0.02224214,6.40103054,0.03243464,-0.02712867,-1.58325005,0.71450347,-0.06588390,-0.98953128,-1.44377279,0.00606604,7.25450134,-0.07304192,0.00000000,2.15223050,0.68815660,0.00387552,1.55851173,-1.39797735,0.00404402,6.78035069,0.06665337,-0.01550210,-1.45955861,0.70057034,-0.05813286,2.25118375,-1.43576396,0.01011006,7.58640671
4966.403240,-0.01696283,-0.03875524,0.59371877,0.73518300,0.05038181,-1.78115630,-1.42418468,0.00808805,6.30620050,0.03243464,-0.00775105,-1.58325005,0.71450347,0.00000000,-0.96479297,-1.44377279,0.00808805,7.11225605,-0.07304192,-0.01162657,2.15223050,0.68818688,0.08913705,1.55851173,-1.39799309,-0.00404402,6.87518072,0.06668365,0.03100419,-1.38534379,0.70057034,-0.03875524,2.25118375,-1.43574810,0.03437421,7.49157619
4966.405255,-0.01696283,-0.00775105,0.66793358,0.73518300,0.01162657,-1.83063293,-1.42418468,0.00606604,6.25878525,0.03240436,-0.06200838,-1.58325005,0.71453375,0.02712867,-0.96479297,-1.44378865,-0.02224214,7.25450134,-0.07304192,-0.01937762,2.12749219,0.68815660,0.00000000,1.55851173,-1.39800894,-0.04044025,6.87518072,0.06665337,-0.00387552,-1.45955861,0.70057034,-0.04650629,2.25118375,-1.43576396,0.01415409,7.49157619
4966.407303,-0.01693255,0.00000000,0.59371877,0.73515272,-0.01937762,-1.78115630,-1.42421627,-0.04650629,6.21137047,0.03246492,0.06200838,-1.58325005,0.71450347,-0.00387552,-0.96479297,-1.44377279,0.01617610,7.25450134,-0.07298136,0.08526152,2.15223050,0.68815660,0.01550210,1.48429692,-1.39797735,0.00808805,6.87518072,0.06668365,0.01550210,-1.41008210,0.70057034,-0.05425733,2.25118375,-1.43576396,0.00606604,7.58640671
4966.409252,-0.01696283,-0.03875524,0.59371877,0.73515272,-0.01937762,-1.78115630,-1.42416883,0.03639622,6.40103054,0.03243464,-0.01550210,-1.58325005,0.71450347,-0.00387552,-0.96479297,-1.44377279,0.00808805,7.11225605,-0.07301164,0.02712867,2.15223050,0.68815660,0.02325314,1.48429692,-1.39797735,0.00000000,6.87518072,0.06668365,0.00000000,-1.45955861,0.70063090,0.04650629,2.30066013,-1.43576396,0.00606604,7.44416142
4966.411029,-0.01699311,-0.06200838,0.59371877,0.73518300,0.01550210,-1.83063293,-1.42418468,0.00404402,6.40103054,0.03243464,-0.01937762,-1.58325005,0.71447319,-0.03487971,-0.94005471,-1.44377279,0.01415409,7.30191612,-0.07301164,0.01162657,2.15223050,0.68815660,0.02325314,1.48429692,-1.39799309,0.00404402,6.87518072,0.06668365,0.03875524,-1.38534379,0.70063090,0.04650629,2.30066013,-1.43576396,0.00000000,7.58640671
4966.413312,-0.01696283,-0.02712867,0.59371877,0.73518300,0.01162657,-1.83063293,-1.42418468,0.00000000,6.21137047,0.03243464,-0.01162657,-1.58325005,0.71450347,-0.03875524,-0.96479297,-1.44375706,0.04044025,7.20708609,-0.07301164,0.00387552,2.12749219,0.68815660,0.02712867,1.55851173,-1.39799309,-0.00808805,6.82776594,0.06671393,0.05425733,-1.45955861,0.70060062,0.01550210,2.32539845,-1.43576396,0.00000000,7.49157619
4966.415286,-0.01696283,-0.03875524,0.59371877,0.73518300,0.01162657,-1.73167968,-1.42421627,-0.04650629,6.25878525,0.03246492,0.03875524,-1.58325005,0.71453375,0.01550210,-0.94005471,-1.44375706,0.03033019,7.25450134,-0.07298136,0.06975943,2.15223050,0.68818688,0.05813286,1.48429692,-1.39800894,-0.04246226,6.87518072,0.06668365,0.00000000,-1.38534379,0.70057034,-0.03875524,2.32539845,-1.43576396,0.00808805,7.49157619
4966.417340,-0.01699311,-0.05425733,0.59371877,0.73518300,0.01162657,-1.70694149,-1.42420042,-0.01617610,6.25878525,0.03243464,-0.03875524,-1.58325005,0.71450347,-0.03875524,-0.94005471,-1.44377279,0.01213207,7.30191612,-0.07301164,0.00775105,2.15223050,0.68818688,0.05425733,1.48429692,-1.39797735,0.00000000,6.87518072,0.06665337,-0.02325314,-1.45955861,0.70057034,-0.05038181,2.25118375,-1.43576396,0.01011006,7.58640671
4966.419335,-0.01696283,-0.03487971,0.59371877,0.73518300,0.03875524,-1.78115630,-1.42418468,0.01011006,6.25878525,0.03243464,-0.00387552,-1.58325005,0.71453375,0.01937762,-0.94005471,-1.44378865,-0.01011006,7.25450134,-0.07301164,-0.00387552,2.15223050,0.68818688,0.00775105,1.48429692,-1.39799309,-0.01617610,6.87518072,0.06671393,0.04263076,-1.41008210,0.70057034,-0.03875524,2.32539845,-1.43576396,0.01011006,7.58640671
