t_sys,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
7417.025756692,-0.011717907,-0.003195793,-0.004261057,-0.782903969,0.401028782,9.385271072
7417.027735031,0.009587379,-0.008522115,-0.008522115,-0.782903969,0.401028782,9.385271072
7417.029789898,0.003195793,0.008522115,-0.001065264,-0.792480767,0.385466486,9.311050415
7417.031730406,-0.014913701,-0.010652643,-0.004261057,-0.792480767,0.385466486,9.311050415
7417.033680753,-0.008522115,-0.002130529,-0.002130529,-0.791283667,0.414196908,9.349357605
7417.035730686,0.002130529,-0.013848436,-0.004261057,-0.791283667,0.414196908,9.349357605
7417.037704097,-0.007456850,0.000000000,0.000000000,-0.791283667,0.414196908,9.349357605
7417.039725158,0.001065264,-0.007456850,-0.007456850,-0.792480767,0.414196908,9.408015251
7417.041741063,-0.007456850,0.012783172,0.018109493,-0.792480767,0.414196908,9.408015251
7417.043881882,0.002130529,-0.023435814,-0.009587379,-0.800860465,0.403422982,9.297882080
7417.045881078,-0.003195793,0.000000000,-0.006391586,-0.800860465,0.403422982,9.297882080
7417.047909097,-0.002130529,-0.017044229,0.001065264,-0.800860465,0.403422982,9.297882080
7417.049929138,-0.007456850,0.001065264,-0.003195793,-0.786495268,0.414196908,9.326612473
7417.051877386,-0.011717907,-0.006391586,0.000000000,-0.786495268,0.414196908,9.326612473
7417.053731752,-0.009587379,0.001065264,0.006391586,-0.785298169,0.420182407,9.366117477
7417.055856126,-0.008522115,-0.001065264,-0.001065264,-0.785298169,0.420182407,9.366117477
7417.057886477,-0.008522115,-0.008522115,0.003195793,-0.785298169,0.420182407,9.366117477
7417.059899053,-0.003195793,-0.003195793,0.001065264,-0.762553215,0.385466486,9.324218750
7417.061682130,-0.005326321,-0.013848436,0.001065264,-0.762553215,0.385466486,9.324218750
7417.063701548,-0.009587379,-0.009587379,-0.013848436,-0.760159016,0.378283858,9.381679535
7417.065767217,0.006391586,-0.009587379,0.012783172,-0.760159016,0.378283858,9.381679535
7417.067803479,-0.011717907,0.001065264,-0.001065264,-0.760159016,0.378283858,9.381679535
7417.069741934,-0.014913701,-0.003195793,0.009587379,-0.802057564,0.387860686,9.390059471
7417.071710134,0.006391586,-0.001065264,-0.006391586,-0.802057564,0.387860686,9.390059471
7417.073792004,0.000000000,-0.004261057,-0.006391586,-0.794874966,0.418985307,9.333795547
7417.075758750,-0.002130529,-0.010652643,0.002130529,-0.794874966,0.418985307,9.333795547
7417.077745593,-0.013848436,-0.002130529,0.010652643,-0.794874966,0.418985307,9.333795547
7417.079781445,-0.008522115,-0.004261057,-0.002130529,-0.780509770,0.401028782,9.388861656
7417.081970138,-0.007456850,-0.012783172,-0.001065264,-0.780509770,0.401028782,9.388861656
7417.083669337,0.001065264,-0.003195793,0.011717907,-0.780509770,0.391451985,9.361329079
7417.085662276,-0.004261057,-0.019174758,-0.005326321,-0.780509770,0.391451985,9.361329079
7417.087671538,-0.005326321,0.002130529,0.005326321,-0.780509770,0.391451985,9.361329079
7417.089670665,-0.004261057,-0.015978964,0.001065264,-0.818816960,0.402225882,9.314641953
7417.091667631,-0.011717907,-0.004261057,-0.005326321,-0.818816960,0.402225882,9.314641953
7417.093833896,-0.009587379,-0.008522115,0.006391586,-0.793677866,0.412999779,9.386467934
7417.095773383,0.001065264,-0.010652643,0.003195793,-0.793677866,0.412999779,9.386467934
7417.097784004,-0.010652643,0.002130529,-0.004261057,-0.793677866,0.412999779,9.386467934
7417.099819352,0.003195793,-0.010652643,-0.012783172,-0.799663365,0.398634583,9.344569206
7417.101997503,0.001065264,-0.007456850,0.006391586,-0.799663365,0.398634583,9.344569206
7417.103989177,-0.007456850,-0.009587379,-0.005326321,-0.770932972,0.391451985,9.345766068
7417.105780747,0.006391586,-0.018109493,-0.004261057,-0.770932972,0.391451985,9.345766068
7417.107695512,-0.003195793,-0.007456850,-0.003195793,-0.770932972,0.391451985,9.345766068
7417.109773205,-0.007456850,-0.006391586,0.004261057,-0.781706870,0.408211380,9.356540680
