t_sys,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
3331.938457669,-0.006391586,-0.010652643,0.000000000,-0.582988143,0.361524463,9.319430351
3331.940411038,-0.008522115,-0.013848436,0.008522115,-0.582988143,0.361524463,9.319430351
3331.942491669,-0.008522115,-0.011717907,-0.005326321,-0.544680893,0.396240383,9.297882080
3331.944493956,-0.003195793,-0.005326321,0.000000000,-0.544680893,0.396240383,9.297882080
3331.946061957,-0.004261057,-0.012783172,-0.002130529,-0.544680893,0.396240383,9.297882080
3331.948045711,-0.006391586,-0.012783172,-0.002130529,-0.578199685,0.378283858,9.403226852
3331.950275028,-0.006391586,-0.007456850,0.002130529,-0.578199685,0.378283858,9.403226852
3331.952378999,-0.010652643,-0.011717907,-0.003195793,-0.571017087,0.402225882,9.333795547
3331.954158091,-0.011717907,-0.005326321,-0.004261057,-0.571017087,0.402225882,9.333795547
3331.956353895,0.001065264,-0.012783172,0.005326321,-0.571017087,0.402225882,9.333795547
3331.958368098,-0.005326321,-0.023435814,-0.006391586,-0.550666392,0.383072257,9.295488358
3331.960397227,-0.005326321,-0.006391586,-0.007456850,-0.550666392,0.383072257,9.295488358
3331.962403038,0.000000000,-0.008522115,-0.005326321,-0.563834488,0.377086759,9.387664795
3331.963972226,-0.008522115,-0.011717907,0.005326321,-0.563834488,0.377086759,9.387664795
3331.966376299,0.001065264,-0.008522115,-0.008522115,-0.563834488,0.377086759,9.387664795
3331.968184564,-0.006391586,-0.012783172,0.005326321,-0.566228688,0.390254885,9.309853554
3331.970417040,0.001065264,-0.022370551,-0.009587379,-0.566228688,0.390254885,9.309853554
3331.972237880,-0.005326321,-0.006391586,0.003195793,-0.543483794,0.367509961,9.331400871
3331.974227039,-0.010652643,-0.008522115,-0.002130529,-0.543483794,0.367509961,9.331400871
3331.976356168,0.008522115,-0.007456850,-0.012783172,-0.543483794,0.367509961,9.331400871
3331.978419451,-0.015978964,-0.013848436,0.006391586,-0.550666392,0.356736064,9.354146004
3331.980416165,-0.006391586,-0.006391586,-0.006391586,-0.550666392,0.356736064,9.354146004
3331.982365277,-0.008522115,-0.022370551,-0.001065264,-0.566228688,0.384269387,9.279925346
3331.984431887,-0.010652643,-0.008522115,-0.001065264,-0.566228688,0.384269387,9.279925346
3331.986390243,-0.003195793,-0.019174758,-0.005326321,-0.566228688,0.384269387,9.279925346
3331.988378528,-0.011717907,-0.007456850,-0.003195793,-0.573411286,0.371101260,9.297882080
3331.990368515,-0.017044229,-0.019174758,0.005326321,-0.573411286,0.371101260,9.297882080
3331.992359294,0.000000000,-0.014913701,-0.006391586,-0.550666392,0.362721562,9.350554466
3331.994396803,-0.005326321,-0.004261057,-0.009587379,-0.550666392,0.362721562,9.350554466
3331.996357575,-0.005326321,-0.019174758,-0.002130529,-0.550666392,0.362721562,9.350554466
3331.998272558,-0.005326321,-0.011717907,-0.007456850,-0.556651890,0.387860686,9.289502144
3332.000295859,0.006391586,-0.006391586,-0.001065264,-0.556651890,0.387860686,9.289502144
3332.002138461,-0.007456850,-0.017044229,-0.006391586,-0.545877993,0.396240383,9.355342865
3332.004025975,-0.009587379,-0.005326321,-0.003195793,-0.545877993,0.396240383,9.355342865
3332.006284258,-0.015978964,-0.011717907,0.005326321,-0.545877993,0.396240383,9.355342865
3332.008331393,-0.010652643,-0.008522115,0.004261057,-0.548272192,0.378283858,9.392453194
3332.010285526,-0.003195793,-0.013848436,0.004261057,-0.548272192,0.378283858,9.392453194
3332.012313028,-0.007456850,-0.006391586,0.003195793,-0.555454791,0.393846184,9.284713745
3332.014369668,-0.009587379,0.001065264,0.006391586,-0.555454791,0.393846184,9.284713745
3332.016204720,-0.001065264,-0.004261057,0.007456850,-0.555454791,0.393846184,9.284713745
3332.018362707,-0.008522115,-0.008522115,-0.001065264,-0.556651890,0.390254885,9.318233490
